Name,Slope,Offset,Zero?
CH00 (P0 Fuel Sply 0-200),50.354472,-50.497116,TRUE
CH01 (P1 Fuel 0-1500),378.780290,-384.936992,TRUE
CH02 (P2 Fuel 0-1500),374.636872,-375.938724,TRUE
CH03 (P6 Fuel 0-600),150.135193,-146.951261,TRUE
CH04 (P8 Fuel 0-200),50.396436,-50.061779,TRUE
CH05 (DP1 Fuel 0-100),24.823922,-28.360910,TRUE
CH06 (P2a Fuel 0-1000),250.984251,-250.434599,TRUE
CH07 (SPARE),1.000000,-1.038473,TRUE
CH08 (Fuel Level 0-2),22.222000,0.000000,FALSE
CH09 (Fuel Temp Panel),44.560099,11.400000,FALSE
CH10 (Fuel Res Temp),44.705882,13.700000,FALSE
CH11 (RTD EK-209),45.000000,0.000000,FALSE
Ch12 (Sol Pwr Amps),1.000000,0.000613,FALSE
CH13 (Sol Pwr Volts),10.000000,0.000000,FALSE
CH14 (TM1 Amps),0.999334,0.000897,FALSE
CH15 (TM1 Volts),36.570793,0.000000,FALSE
CH16 (TM2 Amps),1.003613,0.000909,FALSE
CH17 (TM2 Volts),36.507080,0.000000,FALSE
CH18 (FM1-20L),1.000000,0.000000,FALSE
CH19 (FM1-60L),1.000000,0.000000,FALSE
